ID Cliente;Zona;País;Tipo de producto;ID Proveedor;Prioridad;Fecha pedido;ID Pedido;Fecha envío;Unidades;Precio Unitario;Coste unitario;Importe venta total;Importe Coste total
C0421;Europa;United Kingdom;Snacks;P0001;Crítica;12/10/2020;242113196;30/11/2020;5530;152.58 ;97.44 ;843767.40 ;538843.20 
C0908;Europa;Malta;Cárnicos;P0002;Alta;26/01/2020;190800607;28/01/2020;994;421.89 ;364.69 ;419358.66 ;362501.86 
C0652;Australia y Oceanía;Marshall Islands;Cereales;P0003;Crítica;9/11/2020;765228068;21/11/2020;6845;205.70 ;117.11 ;1408016.50 ;801617.95 
C0326;África;Iran;Frutas;P0004;Baja;21/08/2021;232631909;2/10/2021;9806;9.33 ;6.92 ;91489.98 ;67857.52 
C0305;Centroamérica y Caribe;Guatemala;Alimento infantil;P0005;Media;30/09/2022;530560958;12/11/2022;3633;255.28 ;159.42 ;927432.24 ;579172.86 
C0168;Centroamérica y Caribe;Grenada;Bebida;P0009;Baja;21/01/2022;516876542;21/02/2022;4110;47.45 ;31.79 ;195019.50 ;130656.90 
C0197;Australia y Oceanía;Fiji;Snacks;P0001;Media;17/02/2022;919752490;27/02/2022;4056;152.58 ;97.44 ;618864.48 ;395216.64 
C0876;África;Tunisia ;Cosméticos;P0006;Media;21/03/2020;287675130;7/05/2020;8319;437.20 ;263.33 ;3637066.80 ;2190642.27 
C0394;Centroamérica y Caribe;Grenada;Cuidado personal;P0007;Crítica;13/02/2021;839443290;1/04/2021;8779;81.73 ;56.67 ;717507.67 ;497505.93 
C0141;Australia y Oceanía;Australia;Material de oficina;P0008;Media;15/06/2021;814168298;12/07/2021;9347;651.21 ;524.96 ;6086859.87 ;4906801.12 
C0212;Norteamérica;Greenland;Cosméticos;P0006;Alta;15/07/2022;321273982;30/08/2022;966;437.20 ;263.33 ;422335.20 ;254376.78 
C0904;África;Angola;Snacks;P0001;Crítica;13/05/2020;890496671;5/06/2020;6609;152.58 ;97.44 ;1008401.22 ;643980.96 
C0218;África;Zambia;Bebida;P0009;Crítica;6/05/2021;521885192;22/05/2021;6281;47.45 ;31.79 ;298033.45 ;199672.99 
C0358;África;Kenya;Verduras;P0010;Alta;7/11/2020;435800874;25/12/2020;2018;154.06 ;90.93 ;310893.08 ;183496.74 
C0229;África;Azerbaijan;Frutas;P0004;Crítica;20/10/2021;122917544;17/11/2021;2888;9.33 ;6.92 ;26945.04 ;19984.96 
C0942;África;Mozambique;Cuidado personal;P0007;Crítica;21/10/2021;494221532;18/11/2021;9989;81.73 ;56.67 ;816400.97 ;566076.63 
C0310;Australia y Oceanía;Federated States of Micronesia;Cosméticos;P0006;Crítica;19/04/2020;731011664;30/04/2020;1451;437.20 ;263.33 ;634377.20 ;382091.83 
C0348;Centroamérica y Caribe;Dominican Republic;Snacks;P0001;Crítica;3/11/2022;534899270;4/11/2022;7436;152.58 ;97.44 ;1134584.88 ;724563.84 
C0778;África;Libya;Material de oficina;P0008;Alta;10/07/2022;577808177;22/07/2022;5135;651.21 ;524.96 ;3343963.35 ;2695669.60 
C0519;Asia;Uzbekistan;Material de oficina;P0008;Baja;1/06/2021;251974713;21/06/2021;3772;651.21 ;524.96 ;2456364.12 ;1980149.12 
C0199;Asia;Sri Lanka;Cuidado personal;P0007;Media;28/07/2020;819947707;5/09/2020;9602;81.73 ;56.67 ;784771.46 ;544145.34 
C0645;África;The Gambia;Cosméticos;P0006;Crítica;8/06/2021;464588487;25/07/2021;912;437.20 ;263.33 ;398726.40 ;240156.96 
C0390;Asia;Myanmar;Snacks;P0001;Media;26/07/2021;139070880;4/08/2021;3019;152.58 ;97.44 ;460639.02 ;294171.36 
C0168;Asia;Bhutan;Ropa;P0011;Crítica;15/10/2021;416881215;21/10/2021;3270;109.28 ;35.84 ;357345.60 ;117196.80 
C0418;África;Mali;Verduras;P0010;Crítica;23/11/2021;141818320;29/11/2021;6047;154.06 ;90.93 ;931600.82 ;549853.71 
C0779;África;Burundi;Cuidado personal;P0007;Alta;31/01/2022;477993524;12/03/2022;7761;81.73 ;56.67 ;634306.53 ;439815.87 
C0598;África;Libya;Ropa;P0011;Alta;11/07/2021;859830653;5/08/2021;1852;109.28 ;35.84 ;202386.56 ;66375.68 
